|features 154.5936 285.5223 569.8047 528.1099 154.5936 260.2242 150.2573 85.5257 63.6225 161.8057 134.8978 166.5137 145.1556 154.4144 107.1534 58.5578 121.0305 71.5294 91.3821 83.1673 40.9145 99.6057 49.0373 64.3325 0.060329 0.038047 0.026569 0.018371 0 0 1.4952 14.2645 16332 532 0 0 0 0 0 0 566 4069 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.051246 0.8485 0.61393 0.97438 2.1236 1 |labels 0
|features 79.3397 92.5428 203.1902 245.8383 79.3397 96.8494 198.7898 152.8918 128.7913 202.5489 199.5106 179.4014 194.1467 205.2122 160.5453 150.1811 123.3561 139.7061 172.4142 138.4811 125.7476 93.7232 110.9713 153.1438 0.26432 0.41008 0.17053 0.42521 0.097232 0.26805 1.327 38.487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7425 843 0 0 0 0 0 0 913 116298 432 0 0 0 0 0 0 450 1397 4 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0.02071 0.86549 0.83216 0.98965 3.2089 2 |labels 1
|features 1695.4794 1550.6049 1542.1456 1638.5738 1695.4794 1637.7763 104.2619 77.8675 81.5719 148.8221 76.4775 104.1947 40.4786 129.03 127.0132 44.2496 66.4101 28.1777 95.3592 134.7418 46.6507 68.7683 28.1669 98.7482 0.18253 0.42026 0.069178 0.034743 0.046001 0.020161 2.075 30.1752 13468 476 0 0 0 0 0 0 559 5985 3 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.050937 0.88285 0.51834 0.9746 1.7337 2 |labels 1
|features 607.9827 875.9704 1563.7529 1679.1083 607.9827 867.5623 158.7224 114.8385 95.2842 145.9608 183.5179 161.8851 169.8001 116.8644 80.8275 162.4731 110.3538 138.6391 57.4306 55.5962 151.2333 81.2654 118.9794 42.0268 0.31119 0.37378 0.22083 0.20292 0.097116 0.11168 2.41 31.3108 196 38 0 0 0 0 0 0 38 29653 2725 0 0 0 0 0 0 2739 35788 477 2 0 0 0 0 0 535 4017 14 0 0 0 0 0 5 8 14 4 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.086799 0.87994 0.3769 0.95678 2.3115 3 |labels 0
|features 158.1392 157.508 197.404 191.5776 158.1392 131.0688 169.1596 133.9293 120.5701 157.1565 175.9803 131.4379 177.6176 168.2755 116.1241 141.2392 98.2035 149.6468 130.5347 102.3276 126.4212 92.0731 141.398 114.6139 0.17998 0.20954 0.1436 0.18276 0.085081 0.094048 1.4445 43.425 4234 0 0 0 160 0 0 0 0 3535 685 0 0 0 0 0 0 711 35926 3204 0 0 0 0 0 0 3276 283645 5856 0 0 0 125 0 0 6470 170099 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.047814 0.94989 0.41308 0.98006 2.4296 1 |labels 1
|features 91.716 40.6997 299.3741 463.6114 91.716 -10.3107 218.9903 199.6991 178.9937 210.1666 216.1856 221.6508 225.775 224.3774 207.2731 168.0966 186.8811 219.988 202.7771 200.9961 129.128 153.2603 208.2018 177.4544 0.28535 0.30998 0.26224 0.21604 0.14374 0.11838 4.8034 209.6703 6 7 2 0 0 0 0 0 8 325 320 56 3 0 0 0 1 307 4950 1593 81 4 3 0 0 48 1513 20768 971 36 8 0 0 12 64 908 6520 104 21 0 0 0 11 37 98 141 23 0 0 0 0 5 22 26 21 1 0 0 0 0 0 1 0 0 0.19962 0.79984 0.33178 0.91748 1.6581 1 |labels 0
|features 582.0771 463.9481 605.6318 713.5756 582.0771 404.4656 160.8003 87.4402 70.2404 160.122 178.9207 85.099 174.4027 144.13 80.7909 103.0646 43.3028 117.6757 59.0909 58.1756 81.9353 42.1039 116.9207 33.7911 0.25338 0.40863 0.14525 0.082803 0.070807 0.072009 2.9191 57.0952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 278 25 0 0 0 0 0 0 62 3175 416 0 0 0 0 0 0 444 11282 252 0 0 0 0 0 0 252 2739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.076817 0.9075 0.40597 0.96159 1.9662 3 |labels 1
|features 489.0593 600.7177 801.4184 820.3506 489.0593 580.164 154.804 116.3607 106.5951 170.0465 91.6074 144.6523 130.7793 155.9974 136.0031 35.6121 102.7272 70.7566 119.8861 122.4073 19.6591 92.9333 43.6528 118.3145 0.40668 0.44201 0.15077 0.2715 0.091469 0.19554 3.6091 125.4337 159 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 43 43 0 0 0 0 0 0 43 2537 715 0 0 0 22 0 0 673 16194 20 0 0 0 0 0 0 19 49 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.10817 0.80743 0.63916 0.9614 1.4229 4 |labels 0
|features 440.0831 691.0126 1239.2826 1461.4207 440.0831 769.3537 163.7491 100.1908 72.6278 129.6016 192.1498 154.5349 170.3088 179.0463 48.2966 161.5974 78.5442 104.5592 129.6746 19.2768 155.254 42.7541 71.5156 108.5811 0.27916 0.26683 0.15313 0.15301 0.04802 0.078661 4.7011 142.52 645 215 1 0 0 0 0 0 216 6944 949 0 0 0 0 0 0 910 8290 722 0 0 0 0 0 1 692 5287 80 0 0 0 1 0 0 42 485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1511 0.90129 0.22854 0.92484 1.6278 1 |labels 0
|features 1121.5102 1446.6501 2084.1062 2366.6382 1121.5102 1583.9107 182.9723 150.4987 147.7065 193.0428 83.8119 140.7422 203.8492 173.8469 155.8169 44.7691 82.1719 186.5092 120.5441 150.7278 42.326 67.8042 191.1687 105.2719 0.0016119 0.0016127 0.0023483 0.0037354 0.0013558 0.0021566 1.4448 62.6751 0 0 0 0 0 0 0 0 0 15334 169 0 0 0 0 0 0 391 33261 397 0 0 0 0 0 0 686 18014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.024073 0.97592 0.3578 0.98796 1.0002 1 |labels 0
|features 1273.2046 1026.295 922.8168 818.9164 1273.2046 854.9711 117.7841 75.191 64.2843 123.7602 95.9641 167.1185 71.7792 148.8053 77.3017 56.5357 120.9715 36.8052 100.4784 64.8199 49.007 106.5009 30.4376 84.7395 0.078235 0.091401 0.036652 0.052372 0.029276 0.042774 2.5745 47.8202 1458 299 0 0 0 0 0 0 269 21128 647 0 0 0 0 0 0 643 4602 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.064094 0.85848 0.55772 0.96795 1.9721 1 |labels 0
|features 2861.6332 2292.0778 1921.9692 1565.6104 2861.6332 1791.5607 128.9014 54.0004 44.1812 139.1201 59.5142 107.5007 207.1355 177.3761 58.5963 2.4752 29.4743 124.5731 93.4635 44.1591 7.6535 18.5556 106.1226 75.8693 0.16054 0.12768 0.073847 0.084711 0.035914 0.039905 3.5335 97.6109 11671 48 0 0 0 0 0 0 159 1884 3 0 0 0 0 0 0 45 202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018199 0.94961 0.71221 0.9909 1.4361 1 |labels 1
|features 966.7704 1015.3731 1171.2559 1085.6299 966.7704 924.9771 143.3125 95.6504 65.7952 122.5495 178.3817 86.5422 146.6577 165.2718 67.0219 142.0149 43.2134 92.5978 119.442 36.5491 114.608 23.325 58.3712 86.373 0.069197 0.070629 0.045517 0.055546 0.031834 0.038002 2.5163 33.896 1802 285 0 0 0 0 0 0 303 17995 1965 1 0 0 0 0 0 1909 24588 638 0 0 0 0 0 0 589 3368 15 0 0 0 0 0 3 10 7 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10721 0.88512 0.33262 0.94649 2.5988 1 |labels 1
|features 707.8818 868.6407 1169.9599 1162.0837 707.8818 828.5977 193.0245 108.9187 78.3824 156.5236 183.0361 225.7488 248.3165 204.5758 68.4747 92.5828 152.488 210.158 118.8332 42.0818 61.2428 119.7764 200.9127 85.3134 0.11975 0.10569 0.072411 0.086702 0.047713 0.056622 3.9912 135.8652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 350 139 0 0 0 0 0 0 145 13830 816 0 0 0 0 0 0 913 12134 9 0 0 0 0 0 0 9 9 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.071696 0.87334 0.42306 0.96415 1.6431 1 |labels 0
|features 385.3385 510.6106 744.6805 632.2414 385.3385 417.6694 160.1312 113.5472 85.4596 145.5021 184.4784 123.5434 173.8468 161.1693 91.1179 153.9453 69.2666 131.969 110.2947 66.4736 121.4512 49.3592 99.9996 81.7451 0.12152 0.096294 0.0968 0.07124 0.058708 0.047909 3.5788 72.5477 0 1 0 0 0 0 0 0 0 1004 246 0 0 0 0 0 1 233 4877 469 0 0 0 0 0 2 373 3393 61 0 0 0 0 0 0 52 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13409 0.85203 0.31596 0.93332 1.9438 1 |labels 0
